ref   	text             	parse      	lemma       	pre      	gloss
24.13 	αὐτῆς.           	RD  GSF    	αὐτός       	         	her.
25.1  	καὶ              	C          	καί         	         	and
25.2  	δραμὼν           	VB  AAPNSM 	τρέχω       	         	having ran
25.3  	ὁ                	RA  NSM    	ὁ           	         	the
25.4  	εἷς              	M   NSM    	εἷς         	         	one
25.5  	ἤνοιξεν          	VAI AAI3S  	οἴγω        	ἀνα      	he opened
25.6  	τὰς              	RA  APF    	ὁ           	         	the
25.7  	θύρας            	N1A APF    	θύρα        	         	door
25.8  	τοῦ              	RA  GSM    	ὁ           	         	of the
25.9  	παραδείσου.      	N2  GSM    	παράδεισος  	         	garden.
26.1  	ὡς               	C          	ὡς          	         	so when
26.2  	δὲ               	X          	δέ          	         	then
26.3  	ἤκουσαν          	VAI AAI3P  	ἀκούω       	         	heard
26.4  	τὴν              	RA  ASF    	ὁ           	         	the
26.5  	κραυγὴν          	N1  ASF    	κραυγή      	         	shouting
26.6  	ἐν               	P          	ἐν          	         	in
26.7  	τῷ               	RA  DSM    	ὁ           	         	the
26.8  	παραδείσῳ        	N2  DSM    	παράδεισος  	         	garden
26.9  	οἱ               	RA  NPM    	ὁ           	         	those
26.10 	ἐκ               	P          	ἐκ          	         	of
26.11 	τῆς              	RA  GSF    	ὁ           	         	the
26.12 	οἰκίας,          	N1A GSF    	οἰκία       	         	house,
26.13 	εἰσεπήδησαν      	VAI AAI3P  	πηδάω       	εἰς      	they leapt in
26.14 	διὰ              	P          	διά         	         	through
26.15 	τῆς              	RA  GSF    	ὁ           	         	the
26.16 	πλαγίας          	A1A GSF    	πλάγιος     	         	side
26.17 	θύρας            	N1A GSF    	θύρα        	         	door
26.18 	ἰδεῖν            	VB  AAN    	ὁράω        	         	to see
26.19 	τὸ               	RA  ASN    	ὁ           	         	what
26.20 	συμβεβηκὸς       	VX  XAPASN 	βαίνω       	συν      	had happened
26.21 	αὐτῇ.            	RD  DSF    	αὐτός       	         	to her.
27.1  	ἡνίκα            	D          	ἡνίκα       	         	When
27.2  	δὲ               	X          	δέ          	         	but
27.3  	εἶπαν            	VAI AAI3P  	εἶπον       	         	they said
27.4  	οἱ               	RA  NPM    	ὁ           	         	the
27.5  	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men
27.6  	τοὺς             	RA  APM    	ὁ           	         	the
27.7  	λόγους           	N2  APM    	λόγος       	         	statements
27.8  	αὐτῶν,           	RD  GPM    	αὐτός       	         	of them,
27.9  	κατῃσχύνθησαν    	VCI API3P  	αἰσχύνω     	κατα     	were ashamed
27.10 	οἱ               	RA  NPM    	ὁ           	         	the
27.11 	δοῦλοι           	N2  NPM    	δοῦλος      	         	slaves
27.12 	σφόδρα,          	D          	σφόδρα      	         	very much,
27.13 	ὅτι              	C          	ὅτι         	         	because
27.14 	πώποτε           	D          	πώποτε      	         	ever yet    } never
27.15 	οὐκ              	D          	οὐ          	         	not         }
27.16 	ἐρρέθη           	VC  API3S  	εἶπον       	         	were made
27.17 	λόγος            	N2  NSM    	λόγος       	         	statements
27.18 	τοιοῦτος         	A1  NSM    	τοιοῦτος    	         	of this sort
27.19 	περὶ             	P          	περί        	         	about
27.20 	Σουσάννης.       	N   GSF    	Σουσαννα    	         	Susanna.
28.1  	καὶ              	C          	καί         	         	and
28.2  	ἐγένετο          	VBI AMI3S  	γίγνομαι    	         	it came to be
28.3  	τῇ               	RA  DSF    	ὁ           	         	the
28.4  	ἐπαύριον         	D          	αὔριον      	ἐπι      	next day
28.5  	ὡς               	C          	ὡς          	         	when
28.6  	συνῆλθεν         	VBI AAI3S  	ἔρχομαι     	συν      	came together
28.7  	ὁ                	RA  NSM    	ὁ           	         	the
28.8  	λαὸς             	N2  NSM    	λαός        	         	people
28.9  	πρὸς             	P          	πρός        	         	to
28.10 	τὸν              	RA  ASM    	ὁ           	         	the
28.11 	ἄνδρα            	N3  ASM    	ἀνήρ        	         	husband
28.12 	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
28.13 	Ἰωακείμ,         	N   ASM    	Ιωακιμ      	         	Joakim,
28.14 	ἦλθον            	VBI AAI3P  	ἔρχομαι     	         	came
28.15 	οἱ               	RA  NPM    	ὁ           	         	the
28.16 	δύο              	M   NDM    	δύο         	         	two
28.17 	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men
28.18 	πλήρεις          	A3H NPM    	πλήρης      	         	full
28.19 	τῆς              	RA  GSF    	ὁ           	         	of the
28.20 	ἀνόμου           	A1B GSF    	ἄνομος      	         	lawless
28.21 	ἐννοίας          	N1A GSF    	ἔννοια      	         	thought
28.22 	κατὰ             	P          	κατά        	         	against
28.23 	Σουσάννης        	N   GSF    	Σουσαννα    	         	Susanna
28.24 	τοῦ              	RA  GSN    	ὁ           	         	of the
28.25 	θανατῶσαι        	VA  AAN    	θανατόω     	         	to death putting
28.26 	αὐτήν,           	RD  ASF    	αὐτός       	         	her,
28.27 	καὶ              	C          	καί         	         	and
28.28 	εἶπαν            	VAI AAI3P  	εἶπον       	         	they said
28.29 	ἔμπροσθεν        	P          	ἔμπροσθεν   	         	before
28.30 	τοῦ              	RA  GSM    	ὁ           	         	the
28.31 	λαοῦ             	N2  GSM    	λαός        	         	people:
29.1  	Ἀποστείλατε      	VA  AAD2P  	στέλλω      	ἀπο      	Send
29.2  	ἐπὶ              	P          	ἐπί         	         	for
29.3  	Σουσάνναν        	N   ASF    	Σουσαννα    	         	Susanna
29.4  	θυγατέρα         	N3  ASF    	θυγάτηρ     	         	daughter
29.5  	Χελκίου          	N   GSM    	Χελκιας     	         	of Hilkiah
29.6  	ἥ                	RR  NSF    	ὅς          	         	who
29.7  	ἐστιν            	V9  PAI3S  	εἰμί        	         	is
29.8  	γυνὴ             	N3K NSF    	γυνή        	         	wife
29.9  	Ἰωακείμ.         	N   GSM    	Ιωακιμ      	         	of Joakim.
29.10 	οἱ               	RA  NPM    	ὁ           	         	they
29.11 	δὲ               	X          	δέ          	         	-
29.12 	ἀπέστειλαν.      	VAI AAI3P  	στέλλω      	ἀπο      	sent (for her).
30.1  	καὶ              	C          	καί         	         	and
30.2  	ἦλθεν            	VBI AAI3S  	ἔρχομαι     	         	came
30.3  	αὐτὴ             	RD  NSF    	αὐτός       	         	she
30.4  	καὶ              	C          	καί         	         	and
30.5  	οἱ               	RA  NPM    	ὁ           	         	the
30.6  	γονεῖς           	N3V NPM    	γονεύς      	         	parents
30.7  	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
30.8  	καὶ              	C          	καί         	         	and
30.9  	τὰ               	RA  NPN    	ὁ           	         	the
30.10 	τέκνα            	N2N NPN    	τέκνον      	         	children
30.11 	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
30.12 	καὶ              	C          	καί         	         	and
30.13 	πάντες           	A3  NPM    	πᾶς         	         	all
30.14 	οἱ               	RA  NPM    	ὁ           	         	the
30.15 	συγγενεῖς        	A3H NPM    	συγγενής    	         	relatives
30.16 	αὐτῆς.           	RD  GSF    	αὐτός       	         	of her.
31.1  	ἡ                	RA  NSF    	ὁ           	         	-
31.2  	δὲ               	X          	δέ          	         	Now
31.3  	Σουσάννα         	N   NSF    	Σουσαννα    	         	Susanna
31.4  	ἦν               	V9  IAI3S  	εἰμί        	         	was
31.5  	τρυφερὰ          	A1A NSF    	τρυφερός    	         	delicate
31.6  	σφόδρα           	D          	σφόδρα      	         	very
31.7  	καὶ              	C          	καί         	         	and
31.8  	καλὴ             	A1  NSF    	καλός       	         	beautiful
31.9  	τῷ               	RA  DSN    	ὁ           	         	in
31.10 	εἴδει.           	N3E DSN    	εἶδος       	         	form.
32.1  	οἱ               	RA  NPM    	ὁ           	         	the
32.2  	δὲ               	X          	δέ          	         	and
32.3  	παράνομοι        	A1B NPM    	παράνομος   	         	lawless ones
32.4  	ἐκέλευσαν        	VAI AAI3P  	κελεύω      	         	ordered
32.5  	ἀποκαλυφθῆναι    	VV  APN    	καλύπτω     	ἀπο      	to reveal
32.6  	αὐτήν,           	RD  ASF    	αὐτός       	         	herself,
32.7  	ἦν               	V9  IAI3S  	εἰμί        	         	she was
32.8  	γὰρ              	X          	γάρ         	         	for
32.9  	κατακεκαλυμμένη, 	VM  XMPNSF 	καλύπτω     	κατα     	covered up (NSF),
32.10 	ὅπως             	C          	ὅπως        	         	in order
32.11 	ἐμπλησθῶσιν      	VS  APS3P  	πίμπλημι    	ἐν       	they were filled (+gen)
32.12 	τοῦ              	RA  GSN    	ὁ           	         	of
32.13 	κάλλους          	N3E GSN    	κάλλος      	         	beauty
32.14 	αὐτῆς.           	RD  GSF    	αὐτός       	         	of her.
33.1  	ἔκλαιον          	V1I IAI3P  	κλαίω       	         	wept
33.2  	δὲ               	X          	δέ          	         	-
33.3  	οἱ               	RA  NPM    	ὁ           	         	the
33.4  	παρ’             	P          	παρά        	         	companions
33.5  	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
33.6  	καὶ              	C          	καί         	         	and
33.7  	πάντες           	A3  NPM    	πᾶς         	         	all
33.8  	οἱ               	RA  NPM    	ὁ           	         	the
33.9  	ἰδόντες          	VB  AAPNPM 	ὁράω        	         	looking
33.10 	αὐτήν.           	RD  ASF    	αὐτός       	         	at her.
34.1  	ἀναστάντες       	VH  AAPNPM 	ἵστημι      	ἀνα      	having stood up
34.2  	δὲ               	X          	δέ          	         	then
34.3  	οἱ               	RA  NPM    	ὁ           	         	the
34.4  	δύο              	M   NDM    	δύο         	         	two
34.5  	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men
34.6  	ἐν               	P          	ἐν          	         	in
34.7  	μέσῳ             	A1  DSM    	μέσος       	         	midst (of)
34.8  	τῷ               	RA  DSM    	ὁ           	         	the
34.9  	λαῷ              	N2  DSM    	λαός        	         	people
34.10 	ἔθηκαν           	VAI AAI3P  	τίθημι      	         	put (laid)
34.11 	τὰς              	RA  APF    	ὁ           	         	(their)
34.12 	χεῖρας           	N3  APF    	χείρ        	         	hands
34.13 	ἐπὶ              	P          	ἐπί         	         	on
34.14 	τὴν              	RA  ASF    	ὁ           	         	the
34.15 	κεφαλὴν          	N1  ASF    	κεφαλή      	         	head
34.16 	αὐτῆς·           	RD  GSF    	αὐτός       	         	of her;
35.1  	ἡ                	RA  NSF    	ὁ           	         	She
35.2  	δὲ               	X          	δέ          	         	(and)
35.3  	κλαίουσα         	V1  PAPNSF 	κλαίω       	         	weeping
35.4  	ἀνέβλεψεν        	VAI AAI3S  	βλέπω       	ἀνα      	looked up
35.5  	εἰς              	P          	εἰς         	         	to
35.6  	τὸν              	RA  ASM    	ὁ           	         	the
35.7  	οὐρανόν,         	N2  ASM    	οὐρανός     	         	heaven,
35.8  	ὅτι              	C          	ὅτι         	         	because
35.9  	ἦν               	V9  IAI3S  	εἰμί        	         	was
35.10 	ἡ                	RA  NSF    	ὁ           	         	the
35.11 	καρδία           	N1A NSF    	καρδία      	         	heart
35.12 	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
35.13 	πεποιθυῖα        	VX  XAPNSF 	πείθω       	         	trusting
35.14 	ἐπὶ              	P          	ἐπί         	         	in
35.15 	Κυρίῳ.           	N2  DSM    	κύριος      	         	the Lord.
36.1  	εἶπαν            	VAI AAI3P  	εἶπον       	         	said
36.2  	δὲ               	X          	δέ          	         	and
36.3  	οἱ               	RA  NPM    	ὁ           	         	the
36.4  	πρεσβῦται        	N1M NPM    	πρεσβύτης   	         	old men:
36.5  	Περιπατούντων    	V2  PAPGPM 	πατέω       	περι     	as walking {gen abs}
36.6  	ἡμῶν             	RP  GP     	ἐγώ         	         	we were
36.7  	ἐν               	P          	ἐν          	         	in
36.8  	τῷ               	RA  DSM    	ὁ           	         	the
36.9  	παραδείσῳ        	N2  DSM    	παράδεισος  	         	garden
36.10 	μόνων            	A1  GPM    	μόνος       	         	alone
36.11 	εἰσῆλθεν         	VBI AAI3S  	ἔρχομαι     	εἰς      	entered
36.12 	αὕτη             	RD  NSF    	οὗτος       	         	this woman
36.13 	μετὰ             	P          	μετά        	         	with
36.14 	δύο              	M   GDM    	δύο         	         	two
36.15 	παιδισκῶν,       	N1  GPF    	παιδίσκη    	         	handmaids,
36.16 	καὶ              	C          	καί         	         	and
36.17 	ἀπέκλεισεν       	VAI AAI3S  	κλείω       	ἀπο      	shut
36.18 	τὰς              	RA  APF    	ὁ           	         	the
36.19 	θύρας            	N1A APF    	θύρα        	         	doors
36.20 	τοῦ              	RA  GSM    	ὁ           	         	of the
36.21 	παραδείσου       	N2  GSM    	παράδεισος  	         	garden
36.22 	καὶ              	C          	καί         	         	and
36.23 	ἀπέλυσεν         	VAI AAI3S  	λύω         	ἀπο      	sent away
36.24 	τὰς              	RA  APF    	ὁ           	         	the
36.25 	παιδίσκας.       	N1  APF    	παιδίσκη    	         	handmaids.
37.1  	καὶ              	C          	καί         	         	then
37.2  	ἦλθεν            	VBI AAI3S  	ἔρχομαι     	         	came
37.3  	πρὸς             	P          	πρός        	         	to
37.4  	αὐτὴν            	RD  ASF    	αὐτός       	         	her
37.5  	νεανίσκος,       	N2  NSM    	νεανίσκος   	         	a young man,
37.6  	ὃς               	RR  NSM    	ὅς          	         	who
37.7  	ἦν               	V9  IAI3S  	εἰμί        	         	was
37.8  	κεκρυμμένος,     	VP  XMPNSM 	κρύπτω      	         	hiding,
37.9  	καὶ              	C          	καί         	         	and
37.10 	ἀνέπεσε          	VAI AAI3S  	πίπτω       	ἀνα      	fell back / reclined / lay
37.11 	μετ’             	P          	μετά        	         	with
37.12 	αὐτῆς.           	RD  GSF    	αὐτός       	         	her.
38.1  	ἡμεῖς            	RP  NP     	ἐγώ         	         	We
38.2  	δὲ               	X          	δέ          	         	then
38.3  	ὄντες            	V9  PAPNPM 	εἰμί        	         	being
38.4  	ἐν               	P          	ἐν          	         	in
38.5  	τῇ               	RA  DSF    	ὁ           	         	the
38.6  	γωνίᾳ            	N1A DSF    	γωνία       	         	corner
38.7  	τοῦ              	RA  GSM    	ὁ           	         	of the
38.8  	παραδείσου       	N2  GSM    	παράδεισος  	         	garden,
38.9  	ἰδόντες          	VB  AAPNPM 	ὁράω        	         	seeing
38.10 	τὴν              	RA  ASF    	ὁ           	         	the
38.11 	ἀνομίαν          	N1A ASF    	ἀνομία      	         	wickedness
38.12 	ἐδράμομεν        	VBI AAI1P  	τρέχω       	         	ran
38.13 	ἐπ’              	P          	ἐπί         	         	toward
38.14 	αὐτούς·          	RD  APM    	αὐτός       	         	them;
39.1  	καὶ              	C          	καί         	         	and
39.2  	ἰδόντες          	VB  AAPNPM 	ὁράω        	         	seeing
39.3  	συγγινομένους    	V1  PMPAPM 	γίγνομαι    	συν      	being together
39.4  	αὐτούς,          	RD  APM    	αὐτός       	         	them,
39.5  	ἐκείνου          	RD  GSM    	ἐκεῖνος     	         	of that one
39.6  	μὲν              	X          	μέν         	         	-
39.7  	οὐκ              	D          	οὐ          	         	not
39.8  	ἠδυνήθημεν       	VCI API1P  	δύναμαι     	         	we were able
39.9  	ἐγκρατεῖς        	A3H NPM    	ἐγκρατής    	         	power-possessing
39.10 	γενέσθαι         	VB  AMN    	γίγνομαι    	         	to be
39.11 	διὰ              	P          	διά         	         	because
39.12 	τὸ               	RA  ASN    	ὁ           	         	the
39.13 	ἰσχύειν          	V1  PAN    	ἰσχύω       	         	to be strong
39.14 	αὐτὸν            	RD  ASM    	αὐτός       	         	him
39.15 	ὑπέρ             	P          	ὑπέρ        	         	by
39.16 	ἡμᾶς             	RP  AP     	ἐγώ         	         	us
39.17 	καὶ              	C          	καί         	         	and
39.18 	ἀνοίξαντα        	VA  AAPASM 	οἴγω        	ἀνα      	opening
39.19 	τὰς              	RA  APF    	ὁ           	         	the
39.20 	θύρας            	N1A APF    	θύρα        	         	door
39.21 	ἐκπεπηδηκέναι,   	VX  XAN    	πηδάω       	ἐκ       	to have leapt out,
40.1  	ταύτης           	RD  GSF    	οὗτος       	         	this woman
40.2  	δὲ               	X          	δέ          	         	but
40.3  	ἐπιλαβόμενοι     	VB  AMPNPM 	λαμβάνω     	ἐπι      	seizing
40.4  	ἐπηρωτῶμεν       	V3I IAI1P  	ἐρωτάω      	ἐπι      	we were asking
40.5  	τίς              	RI  NSM    	τίς         	         	who
40.6  	ἦν               	V9  IAI3S  	εἰμί        	         	was
40.7  	ὁ                	RA  NSM    	ὁ           	         	the
40.8  	νεανίσκος·       	N2  NSM    	νεανίσκος   	         	young man;
41.1  	καὶ              	C          	καί         	         	and
41.2  	οὐκ              	D          	οὐ          	         	not
41.3  	ἠθέλησεν         	VAI AAI3S  	θέλω        	         	wished
41.4  	ἀναγγεῖλαι       	VA  AAN    	ἀγγέλλω     	ἀνα      	to tell
41.5  	ἡμῖν.            	RP  DP     	ἐγώ         	         	us.
41.6  	ταῦτα            	RD  APN    	οὗτος       	         	this (is)
41.7  	μαρτυροῦμεν.     	V2  PAI1P  	μαρτυρέω    	         	our testimony.
41.8  	καὶ              	C          	καί         	         	and
41.9  	ἐπίστευσεν       	VAI AAI3S  	πιστεύω     	         	believed
41.10 	αὐτοῖς           	RD  DPM    	αὐτός       	         	them
41.11 	ἡ                	RA  NSF    	ὁ           	         	the
41.12 	συναγωγὴ         	N1  NSF    	συναγωγή    	         	assembly
41.13 	ὡς               	C          	ὡς          	         	as
41.14 	πρεσβυτέροις     	N2  DPM    	πρεσβύτερος 	         	elders
41.15 	τοῦ              	RA  GSM    	ὁ           	         	of the
41.16 	λαοῦ             	N2  GSM    	λαός        	         	people
41.17 	καὶ              	C          	καί         	         	and
41.18 	κριταῖς,         	N1M DPM    	κριτής      	         	judges,
41.19 	καὶ              	C          	καί         	         	and
41.20 	κατέκριναν       	VAI AAI3P  	κρίνω       	κατα     	they condemed
41.21 	αὐτὴν            	RD  ASF    	αὐτός       	         	her
41.22 	ἀποθανεῖν.       	VB  AAN    	θνήσκω      	ἀπο      	to death.
42.1  	ἀνεβόησεν        	VAI AAI3S  	βοάω        	ἀνα      	cried out
42.2  	δὲ               	X          	δέ          	         	but
42.3  	φωνῇ             	N1  DSF    	φωνή        	         	with voice
42.4  	μεγάλῃ           	A1  DSF    	μέγας       	         	big
42.5  	Σουσάννα         	N   NSF    	Σουσαννα    	         	Susanna
42.6  	καὶ              	C          	καί         	         	and
42.7  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
42.8  	Ὁ                	RA  NSM    	ὁ           	         	-
42.9  	θεὸς             	N2  NSM    	θεός        	         	God
42.10 	ὁ                	RA  NSM    	ὁ           	         	-
42.11 	αἰώνιος          	A1B NSM    	αἰώνιος     	         	eternal
42.12 	ὁ                	RA  NSM    	ὁ           	         	the
42.13 	τῶν              	RA  GPN    	ὁ           	         	-
42.14 	κρυπτῶν          	A1  GPN    	κρυπτός     	         	secret
42.15 	γνώστης,         	N1M NSM    	γνώστης     	         	knower,
42.16 	ὁ                	RA  NSM    	ὁ           	         	the
42.17 	εἰδὼς            	VX  XAPNSM 	οἶδα        	         	knowing
42.18 	τὰ               	RA  APN    	ὁ           	         	-
42.19 	πάντα            	A3  APN    	πᾶς         	         	all [things]
42.20 	πρὶν             	D          	πρίν        	         	before
42.21 	γενέσεως         	N3I GSF    	γένεσις     	         	beginning
42.22 	αὐτῶν,           	RD  GPM    	αὐτός       	         	of them,
43.1  	σὺ               	RP  NS     	σύ          	         	you
43.2  	ἐπίστασαι        	V6  PMI2S  	ἐπίσταμαι   	         	know
43.3  	ὅτι              	C          	ὅτι         	         	that
43.4  	ψευδῆ            	A3H APN    	ψευδής      	         	false
43.5  	μου              	RP  GS     	ἐγώ         	         	of me
43.6  	κατεμαρτύρησαν·  	VAI AAI3P  	μαρτυρέω    	κατα     	they testified;
43.7  	καὶ              	C          	καί         	         	and
43.8  	ἰδοὺ             	VB  AMD2S  	ὁράω        	         	look
43.9  	ἀποθνήσκω,       	V1  PAI1S  	θνήσκω      	ἀπο      	I am dying,
43.10 	μὴ               	D          	μή          	         	not
43.11 	ποιήσασα         	VA  AAPNSF 	ποιέω       	         	doing
43.12 	μηδὲν            	A3P ASN    	μηδείς      	         	nothing
43.13 	ὧν               	RR  GPN    	ὅς          	         	which
43.14 	οὗτοι            	RD  NPM    	οὗτος       	         	these [men]
43.15 	ἐπονηρεύσαντο    	VAI AMI3P  	πονηρεύω    	         	invented
43.16 	κατ’             	P          	κατά        	         	against
43.17 	ἐμοῦ.            	RP  GS     	ἐγώ         	         	me.
44.1  	Καὶ              	C          	καί         	         	And
44.2  	εἰσήκουσεν       	VAI AAI3S  	ἀκούω       	εἰς      	heard
44.3  	Κύριος           	N2  NSM    	κύριος      	         	the Lord
44.4  	τῆς              	RA  GSF    	ὁ           	         	the
44.5  	φωνῆς            	N1  GSF    	φωνή        	         	voice
44.6  	αὐτῆς.           	RD  GSF    	αὐτός       	         	of her.
45.1  	καὶ              	C          	καί         	         	and
45.2  	ἀπαγομένης       	V1  PMPGSF 	ἄγω         	ἀπο      	when led
45.3  	αὐτῆς            	RD  GSF    	αὐτός       	         	her
45.4  	ἀπολέσθαι,       	VB  AMN    	ὀλλύω       	ἀπο      	to execution,
45.5  	ἐξήγειρεν        	V1I IAI3S  	ἀγείρω      	ἐκ       	raised up
45.6  	ὁ                	RA  NSM    	ὁ           	         	-
45.7  	θεὸς             	N2  NSM    	θεός        	         	God
45.8  	τὸ               	RA  ASN    	ὁ           	         	the
45.9  	πνεῦμα           	N3M ASN    	πνεῦμα      	         	spirit
45.10 	τὸ               	RA  ASN    	ὁ           	         	-
45.11 	ἅγιον            	A1A ASM    	ἅγιος       	         	holy
45.12 	παιδαρίου        	N2N GSN    	παιδάριον   	         	of boy
45.13 	νεωτέρου         	A1A GSNC   	νέος        	         	young
45.14 	ᾧ                	RR  DSM    	ὅς          	         	who
45.15 	ὄνομα            	N3M NSN    	ὄνομα       	         	name
45.16 	Δανιὴλ.          	N   NSM    	Δανιηλ      	         	Daniel.
46.1  	καὶ              	C          	καί         	         	and
46.2  	ἐβόησεν          	VAI AAI3S  	βοάω        	         	he cried out
46.3  	φωνῇ             	N1  DSF    	φωνή        	         	[with] voice
46.4  	μεγάλῃ           	A1  DSF    	μέγας       	         	large:
46.5  	Ἀθῷος            	A1  NSM    	ἀθῷος       	         	Innocent
46.6  	ἐγὼ              	RP  NS     	ἐγώ         	         	[am] I
46.7  	ἀπὸ              	P          	ἀπό         	         	from
46.8  	τοῦ              	RA  GSN    	ὁ           	         	the
46.9  	αἵματος          	N3M GSN    	αἷμα        	         	blood
46.10 	ταύτης.          	RD  GSF    	οὗτος       	         	of this [woman].
47.1  	ἐπέστρεψεν       	VAI AAI3S  	στρέφω      	ἐπι      	turned
47.2  	δὲ               	X          	δέ          	         	-
47.3  	πᾶς              	A3  NSM    	πᾶς         	         	all
47.4  	ὁ                	RA  NSM    	ὁ           	         	the
47.5  	λαὸς             	N2  NSM    	λαός        	         	people
47.6  	πρὸς             	P          	πρός        	         	toward
47.7  	αὐτὸν            	RD  ASM    	αὐτός       	         	him
47.8  	καὶ              	C          	καί         	         	and
47.9  	εἶπαν            	VAI AAI3P  	εἶπον       	         	said:
47.10 	Τίς              	RI  NSM    	τίς         	         	What [is]
47.11 	ὁ                	RA  NSM    	ὁ           	         	the
47.12 	λόγος            	N2  NSM    	λόγος       	         	statement
47.13 	οὗτος            	RD  NSM    	οὗτος       	         	this
47.14 	ὃν               	RR  ASM    	ὅς          	         	which
47.15 	σὺ               	RP  NS     	σύ          	         	you
47.16 	λελάληκας;       	VX  XAI2S  	λαλέω       	         	have said?
48.1  	ὁ                	RA  NSM    	ὁ           	         	he
48.2  	δὲ               	X          	δέ          	         	-
48.3  	στὰς             	VH  AAPNSM 	ἵστημι      	         	standing
48.4  	ἐν               	P          	ἐν          	         	in
48.5  	μέσῳ             	A1  DSM    	μέσος       	         	[the] midsth
48.6  	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
48.7  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said:
48.8  	Οὕτως            	D          	οὕτως       	         	How
48.9  	μωροί,           	A1A NPM    	μωρός       	         	stupid [are]
48.10 	οἱ               	RA  NPM    	ὁ           	         	the
48.11 	υἱοὶ             	N2  NPM    	υἱός        	         	sons
48.12 	Ισραηλ;          	N   GSM    	Ισραηλ      	         	of Israel?
48.13 	οὐκ              	D          	οὐ          	         	not
48.14 	ἀνακρίναντες     	VA  AAPNPM 	κρίνω       	ἀνα      	investigating
48.15 	οὐδὲ             	C          	οὐδέ        	         	nor
48.16 	τὸ               	RA  ASN    	ὁ           	         	the
48.17 	σαφὲς            	A3H ASN    	σαφής       	         	clear
48.18 	ἐπιγνόντες       	VZ  AAPNPM 	γιγνώσκω    	ἐπι      	knowing
48.19 	κατεκρίνατε      	VAI AAI2P  	κρίνω       	κατα     	judged
48.20 	θυγατέρα         	N3  ASF    	θυγάτηρ     	         	a daughter
48.21 	Ισραηλ;          	N   GSM    	Ισραηλ      	         	of Israel?
49.1  	ἀναστρέψατε      	VA  AAD2P  	στρέφω      	ἀνα      	return
49.2  	εἰς              	P          	εἰς         	         	to
49.3  	τὸ               	RA  ASN    	ὁ           	         	the
49.4  	κριτήριον·       	N2N ASN    	κριτήριον   	         	court;
49.5  	ψευδῆ            	A3H APN    	ψευδής      	         	false
49.6  	γὰρ              	X          	γάρ         	         	for
49.7  	οὗτοι            	RD  NPM    	οὗτος       	         	these
49.8  	κατεμαρτύρησαν   	VAI AAI3P  	μαρτυρέω    	κατα     	testified against
49.9  	αὐτῆς.           	RD  GSF    	αὐτός       	         	her.
50.1  	καὶ              	C          	καί         	         	and
50.2  	ἀνέστρεψεν       	VAI AAI3S  	στρέφω      	ἀνα      	turned
50.3  	πᾶς              	A3  NSM    	πᾶς         	         	all
50.4  	ὁ                	RA  NSM    	ὁ           	         	the
50.5  	λαὸς             	N2  NSM    	λαός        	         	people
50.6  	μετὰ             	P          	μετά        	         	with
50.7  	σπουδῆς.         	N1  GSF    	σπουδή      	         	haste.
50.8  	καὶ              	C          	καί         	         	and
50.9  	εἶπαν            	VAI AAI3P  	εἶπον       	         	said
50.10 	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
50.11 	οἱ               	RA  NPM    	ὁ           	         	the
50.12 	πρεσβύτεροι      	N2  NPM    	πρεσβύτερος 	         	elders:
50.13 	Δεῦρο            	D          	δεῦρο       	         	Here
50.14 	κάθισον          	VA  AAD2S  	ἵζω         	κατα     	sit down
50.15 	ἐν               	P          	ἐν          	         	in
50.16 	μέσῳ             	A1  DSM    	μέσος       	         	middle
50.17 	ἡμῶν             	RP  GP     	ἐγώ         	         	of us
50.18 	καὶ              	C          	καί         	         	and
50.19 	ἀνάγγειλον       	VA  AAD2S  	ἀγγέλλω     	ἀνα      	inform
50.20 	ἡμῖν,            	RP  DP     	ἐγώ         	         	us,
50.21 	ὅτι              	C          	ὅτι         	         	because
50.22 	σοὶ              	RP  DS     	σύ          	         	to you
50.23 	δέδωκεν          	VX  XAI3S  	δίδωμι      	         	have given
50.24 	ὁ                	RA  NSM    	ὁ           	         	-
50.25 	θεὸς             	N2  NSM    	θεός        	         	God
50.26 	τὸ               	RA  ASN    	ὁ           	         	-
50.27 	πρεσβεῖον.       	N2N ASN    	πρεσβεῖον   	         	eldership.
51.1  	καὶ              	C          	καί         	         	and
51.2  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
51.3  	πρὸς             	P          	πρός        	         	to
51.4  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
51.5  	Δανιήλ           	N   NSM    	Δανιηλ      	         	Daniel:
51.6  	Διαχωρίσατε      	VA  AAD2P  	χωρίζω      	δια      	Separate
51.7  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
51.8  	ἀπ’              	P          	ἀπό         	         	from
